num_clusters,k_means_silhouette_score,hierarchical_clustering_silhouette_score
2,0.5694645456327103,0.5432890870864794
3,0.5559510073874274,0.41159498280996004
4,0.5215175569650535,0.4185883986488117
5,0.516221517837039,0.41837660508221636
6,0.25983697099885295,0.42097296992940975
7,0.2683760546384073,0.42358615954869155
8,0.2705859642964863,0.4258169784525394
9,0.281576320250491,0.4119471968346669
10,0.2867282952818814,0.2596170398756981
11,0.30504818597708094,0.2636950925437144
12,0.31686095580148377,0.27027259875773113
13,0.3213177582516758,0.22563575405198139
14,0.3023912516730631,0.22959017819168145
15,0.30099403013467624,0.22412856750730517
16,0.303193047692433,0.23464929539568202
17,0.21841365254729828,0.2035030991476187
18,0.22121635004621718,0.20959790032360706
19,0.2132939255237005,0.20440709595091117
20,0.2306334795107773,0.20958017307027035
21,0.21460882257693242,0.21902403254670813
22,0.21781493003672164,0.22157691359406012
23,0.23858786520768005,0.18532712513987604
24,0.24672751784492344,0.1915817684882001
25,0.24282719105077788,0.20898500509262438
26,0.23858170623144176,0.21426280149244786
27,0.24097252583724327,0.21983123516995
28,0.23910263401130316,0.2290363806482833
29,0.23910263401130316,0.22738545244301422
30,0.19471708622727882,0.24218118656198862
31,0.19471708622727882,0.24678682349533657
32,0.20462597460629822,0.25545266103913483
33,0.20655693880116888,0.2641186351422051
34,0.22483998716749956,0.257718967154645
35,0.21840525586300216,0.25483550528305315
36,0.21533672520450328,0.2552460729380994
37,0.2195437054649164,0.2552460729380994
38,0.22219777351511966,0.2552460729380994
39,0.22219777351511966,0.2552460729380994
40,0.2156553558439685,0.2585195532980675
41,0.22663192223885423,0.2618493998592271
42,0.21944877123047082,0.2650859992053533
43,0.2229940440355812,0.2685982633889994
44,0.23249131399704348,0.2719369611117392
45,0.2362574132612337,0.2765832906300356
46,0.2362574132612337,0.2808255080084793
47,0.23998125466437562,0.2748199944012669
48,0.24307976409911408,0.2783415311934472
49,0.24708967191272588,0.27662745684398055
50,0.25944914870870284,0.29657353587691004
51,0.25736768765250906,0.29186755542476533
52,0.2626164326752204,0.28531031569913834
53,0.26456832164141686,0.2819581500894939
54,0.2715229736680924,0.2819581500894939
55,0.28081096999691485,0.2840098748217714
56,0.2828723055707797,0.2861784600104163
57,0.28505009993368946,0.2884741054691296
58,0.2873544896610059,0.29090822098431157
59,0.28043254208730584,0.2934936085040373
