num_clusters,k_means_silhouette_score,hierarchical_clustering_silhouette_score
2,0.237148435576956,0.22599891606990044
3,0.2405969626135051,0.2412324911684596
4,0.20494223386644617,0.25827674152617314
5,0.21001107028886004,0.2582469764097293
6,0.22285070196557646,0.26453737712849196
7,0.19067890292618334,0.2636047670717272
8,0.27746346845936565,0.28308557107026194
9,0.284692486069625,0.30569538508705413
10,0.3124683195659889,0.3056872823227985
11,0.3018807195031022,0.3194052146252995
12,0.2975250903059084,0.32302988798002197
13,0.30597925558844424,0.3206179595279022
14,0.3080669835856573,0.3163553830160095
15,0.3032253739265096,0.3251127913960759
16,0.3013761497697973,0.328955114019548
17,0.30251942615655414,0.3343691713161099
18,0.302172620697747,0.32998066299951606
19,0.3089470383981914,0.35727916918481367
20,0.3046498060269381,0.3667647627298525
21,0.3375420794002576,0.3662845271701479
22,0.340924130495097,0.36598543416321155
23,0.3459864538187339,0.3656716579998265
24,0.343704091340402,0.3691461337812994
25,0.34076513124335034,0.3619910609624766
26,0.3483113720743769,0.36679994479981975
27,0.3511018538775151,0.37033230785644294
28,0.36363933956290734,0.36866748137142147
29,0.3641028987321111,0.3704996576263618
30,0.3552188276991307,0.3745640248770295
31,0.35637896845737344,0.3691603761187773
32,0.3603864557470692,0.37370901336121554
33,0.3638312517547607,0.3740596057458069
34,0.36589794467417963,0.37631230825102024
35,0.29892480218428036,0.3758614031925096
36,0.30609092989389236,0.3735411216760242
37,0.3115763535749478,0.3367427584695156
38,0.3201130986220295,0.362458393813466
39,0.3288387145547358,0.3887699162779547
40,0.32430602818478865,0.41583211774385986
41,0.32652625927124235,0.4146184939181875
42,0.32652625927124235,0.41563638526437463
43,0.3519810850035889,0.4153852984190246
44,0.37795718146094415,0.4145963229275467
45,0.3775039135354352,0.41504226215439405
46,0.36471775402701134,0.4192440653466291
47,0.3674390237674557,0.4144469306709887
48,0.3703866903831062,0.4111165840413082
49,0.37790330021122515,0.4111165840413082
50,0.3815272283072519,0.41477631360741374
51,0.38572903149948695,0.4187844471253697
52,0.3810111331199688,0.42319322151316185
53,0.37112256811402183,0.42806586535217045
54,0.4005184969987911,0.43347965037911007
55,0.4053911408377996,0.43953001927482444
56,0.396552652758031,0.4463362602792193
57,0.40200556797828585,0.4540494498946669
58,0.40810000263621765,0.44126329038624307
59,0.39653092126808537,0.4305897551517799
