num_clusters,k_means_silhouette_score,hierarchical_clustering_silhouette_score
2,0.38809892083793457,0.6531680090293088
3,0.39956599892774497,0.4878090492823656
4,0.4094406208533289,0.12830504981029936
5,0.2855219458795675,0.16296521404551662
6,0.17778638855175402,0.1626255404596516
7,0.18386084507517922,0.1685527675447833
8,0.18900596871973968,0.17474702491599495
9,0.19446331599102396,0.1782036450818762
10,0.20070869911831593,0.18402554002384697
11,0.20718455583698553,0.18809899359822319
12,0.20300143332536089,0.1945577549213723
13,0.2130601644676197,0.20104682802081875
14,0.21327657107956574,0.1391860842683836
15,0.20620106505695274,0.13367702935085604
16,0.17776505522642233,0.13908504079593792
17,0.17941023834503192,0.14250325059838326
18,0.18095256914143737,0.14729806205745521
19,0.1692930556772025,0.15209277747276864
20,0.1658195435097973,0.1492922703155905
21,0.11364929106802767,0.15175929666584562
22,0.1142017413375241,0.15619467676384005
23,0.11798380855745196,0.1564994849429505
24,0.11682900384473999,0.15952491275133873
25,0.10902003439142652,0.1606471609703865
26,0.10150643359502644,0.14242181931853745
27,0.100521406597791,0.14077849391649364
28,0.10926677133826118,0.143051662682319
29,0.10685678019014666,0.14440444171499656
30,0.10884544873699104,0.1498101417123068
31,0.11311842569779441,0.15486599833268858
32,0.12341017361039398,0.15024575042083932
33,0.1211645234698537,0.14849050865966976
34,0.11501676683866809,0.15002728242056437
35,0.1183348512896963,0.14221831296725088
36,0.12183516438177443,0.14378470142404798
37,0.11372762493606371,0.1455593164802114
38,0.11680609551637851,0.14555620052679458
39,0.11841210920596634,0.1488396350520291
40,0.10296075721093852,0.1471229534350167
41,0.10460205543741442,0.14863265302279197
42,0.09994303618627934,0.15017391354140094
43,0.10523605249608879,0.15174888893742622
44,0.1075848463256932,0.15335983921583804
45,0.10998560249569381,0.15500910206813187
46,0.10733806330189408,0.15533512724728668
47,0.1072806719707343,0.1738638860237922
48,0.10773927218237053,0.19239079154973043
49,0.09414642632516507,0.2109100896056041
50,0.09074821486086371,0.22938845616998033
51,0.09645577342033003,0.23035803132556018
52,0.09645577342033003,0.23568086342033112
53,0.09116928409627205,0.2369973263378276
54,0.09177445831742412,0.23473766808169982
55,0.10972895663307412,0.23349716256118536
56,0.11250646023986724,0.2357526446483671
57,0.11341676997124127,0.23442073487415147
58,0.11341676997124127,0.2462313680927508
59,0.1138753701828775,0.238404521225892
