num_clusters,k_means_silhouette_score,hierarchical_clustering_silhouette_score
2,0.6531680090293088,0.6531680090293088
3,0.39232075126969335,0.48780904928236574
4,0.3918849230195881,0.1283050498102994
5,0.28815971386699374,0.16296521404551664
6,0.10622076319768506,0.16262554045965166
7,0.14514157134134878,0.16855276754478335
8,0.15017458479397122,0.174747024915995
9,0.09162293252533182,0.1782036450818763
10,0.10326738741806728,0.1840255400238471
11,0.11216301426715404,0.18809899359822324
12,0.10127003530554418,0.19455775492137237
13,0.10709982285682071,0.20104682802081886
14,0.11059094423710289,0.1391860842683836
15,0.1182060995386662,0.13367702935085604
16,0.11540559238148805,0.13908504079593792
17,0.11286900086195327,0.14250325059838326
18,0.11224926167717424,0.14729806205745521
19,0.10704995163466825,0.15209277747276864
20,0.10689234571931812,0.1492922703155905
21,0.11904677980761089,0.15175929666584562
22,0.128434041799039,0.15619467676384005
23,0.1262861454898944,0.15649948494295046
24,0.1276179115590439,0.1595249127513387
25,0.1260081635229817,0.16064716097038645
26,0.10816037667813634,0.14242181931853745
27,0.10620532465961625,0.14077849391649364
28,0.0983963552063028,0.14305166268231898
29,0.10169487009827545,0.14440444171499653
30,0.10632459249251858,0.14976199797324125
