num_clusters,k_means_silhouette_score,hierarchical_clustering_silhouette_score
2,0.11003211968073552,0.21752682571096052
3,0.15525226642661435,0.22946408677013813
4,0.1870256357211567,0.22863287204591648
5,0.21310133505782045,0.23760150730858365
6,0.23507431041653448,0.22708530028265858
7,0.2506256424468362,0.23107852778541269
8,0.1497230078499554,0.24745178428061584
9,0.16408384776593668,0.2670893358601513
10,0.19770199025995577,0.27573981487665555
11,0.19594061093757953,0.27751845987996226
12,0.21453964324324282,0.28871249579713043
13,0.21276678322665948,0.29091047483352994
14,0.2140731827346679,0.2885146035185363
15,0.22107410754129805,0.29279579637502223
16,0.21597525469981876,0.28648290748992333
17,0.21076565998418392,0.28910371398591683
18,0.21187149869856295,0.2888696713260347
19,0.21345993834912208,0.2932722992538512
20,0.22513360383361836,0.3001553278669488
21,0.26694042180285765,0.3005617459944152
22,0.2666930341812832,0.29650689202966257
23,0.2847363266698357,0.32130503942933114
24,0.282140725185855,0.3200533719577465
25,0.28879245099218803,0.32263509232881893
26,0.28837806324429155,0.32568359113586226
27,0.2906366764429282,0.3174649205427003
28,0.2931900801250952,0.32051644590627987
29,0.2953001937528132,0.28949468577502746
30,0.2903332034800763,0.28997056394440224
