num_clusters,k_means_silhouette_score,hierarchical_clustering_silhouette_score
2,0.3188743509576074,0.5432890870864794
3,0.3246383908295432,0.41159498280996026
4,0.32328446240435893,0.4185883986488118
5,0.33182169146414875,0.41837660508221636
6,0.33869338030853374,0.42097296992940986
7,0.3472106949208714,0.42358615954869155
8,0.22757718962827542,0.4258169784525395
9,0.24448806232524342,0.411947196834667
10,0.2644407740251834,0.25961703987569823
11,0.2745527470274456,0.2636950925437145
12,0.28005199442830453,0.2702725987577311
13,0.28318393363400024,0.22563575405198139
14,0.02523095593068376,0.22959017819168145
15,0.06481233139553716,0.22412856750730517
16,0.09608327969142133,0.23464929539568194
17,0.09985003936208192,0.2035030991476187
18,0.1078602255076322,0.20959790032360706
19,0.11589038544254146,0.20440709595091117
20,0.1224661750789847,0.20958017307027035
21,0.10297285973245456,0.21902403254670813
22,0.11266505518283412,0.22157691359406012
23,0.12013994029436223,0.18532712513987604
24,0.12727233951658157,0.19158176848820013
25,0.12970489554878464,0.20898500509262444
26,0.15097909558393743,0.2142628014924479
27,0.14588691098431772,0.21983123516995007
28,0.13900467812705225,0.22903638064828338
29,0.13900467812705225,0.22738545244301434
30,0.14708969316648635,0.2421811865619887
