num_clusters,k_means_silhouette_score,hierarchical_clustering_silhouette_score
2,0.5901585822407998,0.5858683756234816
3,0.5575281570974754,0.4412407032674335
4,0.4032592165093675,0.4462333234391406
5,0.4083379310212429,0.459651690251412
6,0.35907675724234556,0.4619633175850967
7,0.36794925029166087,0.37013110473940236
8,0.2988434423008676,0.3968529062819503
9,0.30751643970177556,0.41286878325855897
10,0.3139320437577798,0.4423924382602046
11,0.36851662105818667,0.4429033442636246
12,0.41028383905653465,0.4505891061794442
13,0.42069688265201566,0.46400165135122395
14,0.46217676579026007,0.4759643910666728
15,0.4644933713889462,0.49307197608538433
16,0.47233518377187916,0.5004248889244404
17,0.47420460276416093,0.5194908878157044
18,0.4784506651506729,0.5250784136086257
19,0.47493517965592275,0.5471850314509276
20,0.48598938296899574,0.5695982899895357
21,0.5562237512649296,0.5923470464226644
22,0.5599159399996603,0.6154638655102757
23,0.5642409801449512,0.6389856274313469
24,0.5983095082688267,0.6419594148733576
25,0.6001226025795614,0.6464157498905194
26,0.6110084987125696,0.6499741555389106
27,0.6347730093039078,0.6536560396201592
28,0.6397782242547031,0.6574678813245192
29,0.6434823774633258,0.6614166149307656
30,0.6473151139049714,0.6655096696432858
