num_clusters,k_means_silhouette_score,hierarchical_clustering_silhouette_score
2,0.5589775836760922,0.4373708831213978
3,0.3693855635609086,0.45398116664845933
4,0.43861715891158376,0.5071212614911045
5,0.45078306859631867,0.5121542111803811
6,0.5126790725359008,0.34333048369313357
7,0.44359121780803684,0.38118994767799586
8,0.42883521908353206,0.4234268274653908
9,0.4468178213459185,0.44138372206849646
10,0.48002231844781945,0.45969168997664267
11,0.49890131089533934,0.5093854670593988
12,0.4957547840892742,0.5282436888972875
13,0.5041756135590847,0.5370277783345543
14,0.550058821780288,0.5461776038557264
15,0.5474552633099886,0.5823685911415533
16,0.5511933296102842,0.6194825212365498
17,0.5693564148479823,0.6177592867412512
18,0.5797905273308834,0.6160360522459528
19,0.5845325129773261,0.6212551821716339
20,0.6229775871339951,0.6268340589450216
21,0.6260082094983791,0.6328111952631017
22,0.6321702838953219,0.6392308027892366
23,0.6387857238897087,0.6461438863862683
24,0.624930854249718,0.6536096004210694
25,0.6321322649882681,0.6616969433722069
26,0.6312943369931585,0.6704868933958503
27,0.6392447803621685,0.6800751246900907
28,0.6383823954192047,0.6808034222508758
29,0.6470248116337068,0.6800384018958026
30,0.6564187423016442,0.6800384018958026
