num_clusters,k_means_silhouette_score,hierarchical_clustering_silhouette_score
2,0.6503606318726433,0.6503606318726433
3,0.10039269127408812,0.4800668849288437
4,0.1040618314200832,0.11868872436205428
5,0.13610402734707294,0.15206929047228704
6,0.17042048430880682,0.15158614599810716
7,0.18129403054544072,0.1576738963733333
8,0.0608941264369036,0.16358074286002058
9,0.04502882003081712,0.16769300478267618
10,0.07958278272389321,0.17333936500442243
11,0.08031913994469078,0.1775600475670663
12,0.08616592941533607,0.18540760567034023
13,0.09547254174908489,0.17035790375982748
14,0.10153844931621255,0.17700157426354624
15,0.10525583614827708,0.1363582619333014
16,0.1024760292837323,0.13241856461821186
17,0.10543651161416447,0.13760985798073894
18,0.10666745446138777,0.1432260752411745
19,0.045862748493233726,0.14711517888693568
20,0.054969855045838345,0.150256083051809
21,0.10317619093086317,0.14747627618726417
22,0.09550920274033721,0.15130828350679804
23,0.09015024701529649,0.1529402258407167
24,0.09079395877616694,0.15556216507766701
25,0.09358785248737297,0.15569357287293403
26,0.08562038637655549,0.15818497299119838
27,0.0886597555572031,0.15997787300132557
28,0.09287342031347454,0.15976196242960497
29,0.0956070704769575,0.160959272007982
30,0.09807099451962578,0.15984208638694514
