Method_Name,labels
findGrammar,3
canAddComponent,1
canAddComponents,1
expandRelatedComponents,1
setDVFactory,1
getGrpOrAttrGrpRedefinedByRestriction,1
addGlobalComponents,1
addGlobalTypeDecl,1
addGlobalAttributeGroupDecls,1
expandRelatedAttributeComponents,1
addGlobalComponent,1
setDeclPool,1
getGlobalAttributeDecl,1
expandRelatedComplexTypeComponents,1
addGlobalNotationDecls,1
traverseGlobalDecl,1
getSchemaDocument,1
hashCode,1
createXMLParseException0,1
getGlobalDeclFromGrammar,1
doc2SystemId,1
prepareForParse,1
setSchemasVisible,1
expandRelatedTypeComponents,1
addRelatedAttribute,1
getGlobalGroupDecl,1
emptyString2Null,1
addGlobalTypeDecls,1
equals,1
expandRelatedAttributeUsesComponents,1
expandRelatedSimpleTypeComponents,1
addNewImportedGrammars,3
getGlobalElementDecl,1
getSchemaDocument0,1
unlockPool,1
expandRelatedModelGroupComponents,1
reset,0
fillInLocalElemInfo,1
expandRelatedAttributeUseComponents,1
addGlobalGroupDecl,1
reportSchemaError,1
retrieveGrammar,3
checkForDuplicateNames,3
addRelatedType,1
getSchemaGrammar,1
updateImportListFor,3
traverseLocalElements,3
null2EmptyString,1
renameRedefiningComponents,1
addGlobalElementDecls,1
storeKeyRef,1
needReportTNSError,1
schemaDocument2SystemId,1
findDependentNamespaces,1
lockPool,1
setGenerateSyntheticAnnotations,1
addIDConstraintDecl,1
addGlobalAttributeGroupDecl,1
reportSchemaWarning,1
changeRedefineGroup,1
getIDConstraintDecl,1
buildGlobalNameRegistries,4
clear,1
parseSchema,3
createAnnotationValidator,0
removeParticle,1
addGlobalGroupDecls,1
expandGrammars,1
expandRelatedParticleComponents,1
addGlobalAttributeDecl,1
addGlobalAttributeDecls,1
validateAnnotations,1
updateImportListWith,1
prepareForTraverse,2
expandComponents,1
getGlobalDecl,3
addNewGrammarComponents,1
traverseSchemas,3
createTraversers,1
updateImportList,3
nonAnnotationContent,1
getIDRegistry,1
expandRelatedAttributeGroupComponents,1
getSchemaDocument1,1
addGrammarComponents,1
updateImportDependencies,1
reportSharingError,1
findQName,1
constructTrees,3
getGlobalNotationDecl,1
resolveKeyRefs,3
addImportList,3
containedImportedGrammar,1
retrieveInitialGrammarSet,1
getIDRegistry_sub,1
addGrammars,1
expandRelatedModelGroupDefinitionComponents,1
getGlobalTypeDecl,1
resolveSchemaSource,1
createGrammarFrom,1
getGlobalAttributeGroupDecl,1
existingGrammars,1
refreshGrammars,1
addNamespaceDependency,1
addGlobalNotationDecl,1
expandRelatedElementComponents,1
cacheGrammars,1
expandImportList,3
addRelatedElement,1
findXSDocumentForDecl,1
addNewGrammarLocations,1
resolveSchema,1
createXNIException0,1
element2Locator,1
getGrammar,3
addGlobalElementDecl,1
isExistingGrammar,3
